            LED, 14,               ,"D601, D602, D603, D604, D605, D606, D607, D608, D1301, D1302, D1801, D1802, D1803, D1804"
         LT1963,  2,               ,"U1202, U1203",   A
       LXT972A_,  1,               ,"U2601",http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1008-1042-ND
     MAX3223CAP,  1,   maxim-SSOP20,"IC2501",http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-13090-1-ND
      MOS_N_MOD,  1,               ,"Q1201"
         MSP430,  1,               ,"uC1101",http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-13783-5-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-27570-ND
  MT48LC16M16A2,  2,               ,"U2401, U2402"
      N64S830HA,  1,               ,"U1401"
           PAD2,  8,               ,"U101, U2302, U2303, U2304, U2305, U2306, U2801, U2802"
       PCF8574P,  2,micro-philips-DIL16,"IC601, IC602",http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-13105-1-ND
            PS2,  1,               ,"PS2_2101"
         PWRLED,  1,               ,"D1202"
   RJ45-TRANSFO,  1,               ,"J2601",http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=240-2396-1-ND
          SDBMF,  1,farnell-SDBMF-009XXBXX2,"X2301"
         SI1563,  1,               ,"U1204"
         SOCKET,  1,               ,"OSC1502"
         SP6201,  1,               ,"U301"
        SW_PUSH,  4,               ,"SW601, SW602, SW603, SW604"
       SW_RESET,  1,               ,"SW302"
      SW_WAKEUP,  1,               ,"SW301"
         SWS003,  1,smd-special-SMS-003,"S1801"
    TLV320AIC23,  1,               ,"U501",296-11625-5-ND
       TPS60500,  1,               ,"U1205"
      TSOP348xx,  1,               ,"U1101",http://search.digikey.com/scripts/DkSearch/dksus.dll?lang=en&site=US&KeyWords=TSOP348&x=0&y=0
            TST,  1,               ,"K301"
            USB,  1,               ,"J2702"
          USB_2,  1,               ,"J2701", VCC,  D+,  D-, GND
            VGA,  1,               ,"J2201"
 XC3S250E-VQ100,  1,xilinx-xc3sxxxe_vq100-VQ100,"IC1301",http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=122-1525-ND
